465.6,41.7443
465.8,41.74403
466,41.73467
466.2,41.73048
466.4,41.72396
466.6,41.71721
466.8,41.71134
467,41.7076
467.2,41.69977
467.4,41.69555
467.6,41.68925
467.8,41.68766
468,41.68862
468.2,41.68519
468.4,41.68148
468.6,41.67728
468.8,41.67517
469,41.67401
469.2,41.67028
469.4,41.67068
469.6,41.66856
469.8,41.66488
470,41.66538
470.2,41.66981
470.4,41.66715
470.6,41.67057
470.8,41.67202
471,41.67848
471.2,41.67909
471.4,41.67953
471.6,41.68375
471.8,41.68688
472,41.68662
472.2,41.68833
472.4,41.68985
472.6,41.69123
472.8,41.69081
473,41.68993
473.2,41.69043
473.4,41.69294
473.6,41.69498
473.8,41.69883
474,41.70305
474.2,41.70567
474.4,41.7059
474.6,41.71164
474.8,41.71318
475,41.71497
475.2,41.71732
475.4,41.71856
475.6,41.72211
475.8,41.71985
476,41.71916
476.2,41.71984
476.4,41.71812
476.6,41.71942
476.8,41.72176
477,41.72921
477.2,41.73534
477.4,41.73665
477.6,41.73849
477.8,41.74271
478,41.74374
478.2,41.74255
478.4,41.74282
478.6,41.74481
478.8,41.7461
479,41.74734
479.2,41.74603
479.4,41.74911
479.6,41.7517
479.8,41.75107
480,41.75293
480.2,41.75909
480.4,41.76567
480.6,41.76934
480.8,41.76949
481,41.76852
481.2,41.76555
481.4,41.76688
481.6,41.76656
481.8,41.76779
482,41.76906
482.2,41.76785
482.4,41.77367
482.6,41.77205
482.8,41.77156
483,41.76807
483.2,41.76807
483.4,41.77101
483.6,41.7655
483.8,41.7646
484,41.76559
484.2,41.76939
484.4,41.76416
484.6,41.76366
484.8,41.77061
485,41.76767
485.2,41.77062
485.4,41.77082
485.6,41.77094
485.8,41.76535
486,41.7695
486.2,41.771
486.4,41.77288
486.6,41.77057
486.8,41.77345
487,41.77762
487.2,41.78737
487.4,41.79061
487.6,41.795
487.8,41.80283
488,41.80872
488.2,41.81263
488.4,41.812
488.6,41.81488
488.8,41.81529
489,41.8095
489.2,41.81625
489.4,41.82001
489.6,41.82581
489.8,41.83045
490,41.83917
490.2,41.83847
490.4,41.84045
490.6,41.84561
490.8,41.85102
491,41.855
491.2,41.85733
491.4,41.85118
491.6,41.85287
491.8,41.8495
492,41.84745
492.2,41.84476
492.4,41.8447
492.6,41.8474
492.8,41.85469
493,41.85596
493.2,41.86211
493.4,41.86377
493.6,41.86251
493.8,41.86332
494,41.86309
494.2,41.86808
494.4,41.87413
494.6,41.87717
494.8,41.87617
495,41.87614
495.2,41.87725
495.4,41.87553
495.6,41.88726
495.8,41.88711
496,41.89636
496.2,41.89847
496.4,41.90731
496.6,41.90702
496.8,41.91386
497,41.91073
497.2,41.91154
497.4,41.91426
497.6,41.91642
497.8,41.91748
498,41.91614
498.2,41.91706
498.4,41.91397
498.6,41.91511
498.8,41.91675
499,41.92179
499.2,41.92076
499.4,41.92157
499.6,41.91915
499.8,41.91337
500,41.91746
500.2,41.91559
500.4,41.91647
500.6,41.91132
500.8,41.91338
501,41.91066
501.2,41.91256
501.4,41.91277
501.6,41.90815
501.8,41.90432
502,41.90488
502.2,41.90559
502.4,41.90736
502.6,41.90771
502.8,41.90297
503,41.89856
503.2,41.898
503.4,41.90041
503.6,41.90056
503.8,41.9051
504,41.90678
504.2,41.89708
504.4,41.89563
504.6,41.89305
504.8,41.89142
505,41.88864
505.2,41.88163
505.4,41.8798
505.6,41.87603
505.8,41.87596
506,41.87916
506.2,41.87638
506.4,41.8751
506.6,41.86944
506.8,41.86398
507,41.86111
507.2,41.85846
507.4,41.84941
507.6,41.84089
507.8,41.83341
508,41.82306
508.2,41.81435
508.4,41.81604
508.6,41.81047
508.8,41.80973
509,41.80441
509.2,41.8019
509.4,41.80222
509.6,41.80017
509.8,41.79691
510,41.79124
510.2,41.78194
510.4,41.77671
510.6,41.7682
510.8,41.76125
511,41.75826
511.2,41.75374
511.4,41.74802
511.6,41.74437
511.8,41.74236
512,41.73911
512.2,41.73498
512.4,41.72911
512.6,41.72096
512.8,41.71754
513,41.7047
513.2,41.69594
513.4,41.68507
513.6,41.67294
513.8,41.65852
514,41.64899
514.2,41.63908
514.4,41.62862
514.6,41.62125
514.8,41.61041
515,41.60165
515.2,41.59562
515.4,41.58589
515.6,41.57552
515.8,41.56372
516,41.55549
516.2,41.54779
516.4,41.54075
516.6,41.53197
516.8,41.52307
517,41.51368
517.2,41.50818
517.4,41.49841
517.6,41.49502
517.8,41.4888
518,41.48698
518.2,41.47917
518.4,41.47809
518.6,41.47626
518.8,41.46667
519,41.4664
519.2,41.46395
519.4,41.45264
519.6,41.44627
519.8,41.43553
520,41.43008
520.2,41.42196
520.4,41.40989
520.6,41.40292
520.8,41.39925
521,41.39474
521.2,41.38206
521.4,41.37133
521.6,41.36433
521.8,41.35052
522,41.341
522.2,41.32966
522.4,41.322
522.6,41.3059
522.8,41.29063
523,41.28167
523.2,41.27179
523.4,41.25992
523.6,41.24781
523.8,41.23534
524,41.22579
524.2,41.20988
524.4,41.19562
524.6,41.18455
524.8,41.17048
525,41.14953
525.2,41.13401
525.4,41.12127
525.6,41.10903
525.8,41.09716
526,41.08861
526.2,41.07639
526.4,41.06673
526.6,41.05684
526.8,41.04764
527,41.03621
527.2,41.02502
527.4,41.00883
527.6,40.9949
527.8,40.98431
528,40.97118
528.2,40.96423
528.4,40.95627
528.6,40.94584
528.8,40.93464
529,40.92608
529.2,40.91793
529.4,40.90427
529.6,40.89503
529.8,40.88285
530,40.87006
530.2,40.85448
530.4,40.84156
